Model,MAE,RMSE,R2
Linear Regression,20504.48921938764,28957.90344711648,0.8052336909213403
Random Forest,12966.191878092337,23384.697002126108,0.8729884848270719
Gradient Boosting,27664.906044230112,35987.289102315655,0.6991999747815482
